Coefficient of drag over Reynolds number. Data from Hoerner 1965,
Reynolds number,coefficient of drag
0.0138633193352663,259.858807386681
0.0527971235335728,91.2948466557977
0.0628384372235066,83.6604483554325
0.0839638878014561,76.6421521987135
0.089078245276283,62.5680724425089
0.0972601124042096,52.5757007403661
0.129934032928625,49.5805555679074
0.173837381228155,37.0857603020974
0.200816876871543,39.2831940163935
0.28482855347981,26.9341289195446
0.32933328431505,24.6835979435801
0.606018740201733,16.9129809955758
0.642464473558103,15.5031698589852
0.787095163118231,14.2057060730923
1.0526632728409,11.2594260503779
1.21714290469512,10.3186238743116
1.408090961068,8.66943642443559
1.72382345719116,8.91966299008466
2.44409496590309,6.48040604821727
2.74491027064316,6.11389770697898
3.89041039758914,4.70684147100576
4.24774591590175,3.9551400411021
6.75524039231183,3.32034562849143
9.2911823775878,3.04157964055393
11.3703814670985,3.31599908794752
12.6082329660381,2.37600533114396
15.6673425258476,2.27374705775874
18.1054949333528,2.27291986734068
20.3468424013137,1.93764504162401
25.2789553034941,1.90874439951251
27.9774854627517,1.85378064283601
34.7592806081495,1.82613086707165
41.9689296188333,1.69777223397667
49.2067251361729,1.69709283082682
59.41841765987,1.55511933322572
73.8282695666315,1.50989889557105
101.543672368192,1.38313243677295
133.684328245287,1.3427176667004
200.502919048365,1.26585686732813
245.550487425194,1.22909245148259
390.146769063552,1.19261441773926
470.855444567773,1.19205041261417
676.335668820156,1.09185034014253
827.988619402093,1.12336449486273
985.640394107334,1.00003638733561
1241.83692515056,1.05906006571661
1611.72041809681,0.998799960394821
2215.55658511949,0.998000734150899
3322.33969652,0.968522188616294
4188.197456874,0.940324862440963
5277.79159112741,0.96739512328167
7044.42135272754,1.05444586601638
8627.11178969638,1.02382148240289
10555.7832313962,1.14899532854273
12922.6784678061,1.18215886316393
15823.1748379234,1.18155680892221
19372.925514013,1.19818196785157
25136.3276283896,1.18018183606575
32605.4297744116,1.21406879253203
39916.4586883641,1.24911054721411
48182.6407883371,1.21287662827067
57315.0498721731,1.21234715332199
74366.1493243412,1.19413421979813
92384.239648931,1.19348263904911
116450.537076894,1.17563865671556
151080.56810238,1.17486891237737
193194.258815663,1.17414239438479
240134.107034176,1.07583900537917
294139.237448994,1.01477187086819
335398.097505016,0.852615663149882
350654.316726939,0.716527739642591
372047.00241053,0.576538992388071
411950.370844272,0.520825469580396
406404.45042634,0.450623608504522
463242.143448044,0.401195873748399
425161.170753236,0.342190374993794
513346.621098363,0.318137833314296
407515.043098057,0.2918311953985
576109.0968524,0.337012903175349
457588.085611988,0.28341737984301
499526.818056559,0.245153212085333
611423.141268628,0.259641424217612
748520.928214002,0.267135473277028
748112.496884447,0.291385547822312
747364.2848455,0.341705123770379
901641.507451863,0.361912587468041
915776.466036871,0.304169031553309
1169239.49889281,0.388835833212476
1240459.50701304,0.317432481770648
1727213.89388293,0.411620733719092
1632941.84388503,0.312652358317618
2376048.55900243,0.366297813476032
2906707.53803946,0.423162492414138
3360883.33964629,0.38780436741633
3824999.9829723,0.441646853878185
4487092.73071914,0.404729506829693
