1991;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;0.15;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;;;;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;;0.165;0.192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;0.15;;;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;;0.165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;;;0.196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;;0.175;0.202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;;0.169;0.195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;;0.172;0.201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;;0.165;0.192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;0.164;0.191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
